Summary,Description,Analysis
tenant migration CEP Esper -> Apama,"similar to https://itrac.eur.ad.sag/browse/CSOIOT-542 supported by Bartosz Janus I got a 2nd task for 65 tenants on cumulocity.com to: 
- unsubscribe CEP 
- subscribe Apama-starter 

This task is approved by Aaron Kreis and checked with the tenant owners. So the administrative check is finished. 
The technical task can be done by a Postman script and I can take over it. 

I tested this script successful on management.adamos-preprod.com. 

Now my idea is to do the job on e.g. 5 real tenants on cumulocity.com by script under supervision of Ops. I want to avoid impact on productive instances. If this works fine, I plan to do it the other 85 tenants. 

Whom from Ops can do this? Then I create an appointment with this colleague. 

Detailed steps: 
- output a list of all tenants with domain, url and status 
- start the script which unsubscribes CEP Esper and subscribes Apama-starter 
- output again the list of all tenants 
- check success 

Tenant list: 
https://sagportal.sharepoint.com/:x:/r/sites/msteams_c9d793/_layouts/15/Doc.aspx?sourcedoc=%7Bc6456054-2a3f-4cdf-911a-e50cb1c87d7e%7D&action=edit&activeCell=%27High%20prio%20customers%27!B6&wdinitialsession=c3132708-852c-4fd1-ab45-d203ff131760&wdrldsc=8&wdrldc=1&wdrldr=AccessTokenExpiredWarning%2CRefreshingExpiredAccessT&cid=c9828697-43cb-45fe-bd52-1a5f48ca10d0&CID=90EB26F1-1D30-4A99-A743-AD3FB84C0A38 

tab ""tenant domain and IDs"" 
column ""switch only to starter"" = Starter",Ticket
Delete the tenants from Eppendorf on EMEA instance,"*Affected system* 

Instance: EMEA 

- tenantID: t285471325 
URL: 5ae0413372c1439eb1df408582e195bf.visionizedigitallabspace.eppendorf.com 
- tenantID: t307040180 
URL: 5236ba242ab240649a87d3083a4230a0.visionizedigitallabspace.eppendorf.com 


*Description of the Problem:* 

Customer from Eppendorf has requested to delete these two suspended tenants: 

- tenantID: t285471325 
URL: 5ae0413372c1439eb1df408582e195bf.visionizedigitallabspace.eppendorf.com 
- tenantID: t307040180 
URL: 5236ba242ab240649a87d3083a4230a0.visionizedigitallabspace.eppendorf.com",Ticket
[DT IoT] Not able to add additional IP ranges in cc_values,"Hi Ops, 

I hope you can help me with a configuration issue on DT environment. 

In their chef env file they have included the following block: 
{code:java} 
  ""cumulocity-core"" => { 
   ""cc_values"" => { 
     ""allowedBlocksExtra"" => ['10.3.3.0/24', '10.30.0.0/16'] 
   },{code} 
Now what they expect is, after chef-clien run on the kubemaster node it will generate the cc_values.yml and those 2 new IP ranges will included in the block: 
{code:java} 
allowedBlocks: 
- 10.3.2.0/24 
- 10.3.201.0/24{code} 
and least that is what the recepie ..cc_values_gen.rb suggests 
{code:java} 
node.default[""cumulocity-core""][""cc_values""]['allowedBlocks'] = allowed_blocks + node.default[""cumulocity-core""][""cc_values""]['allowedBlocksExtra']{code} 
However the result is that these 2 new IP ranges are included in the cc_values.yml file, but in another place: 
{code:java} 
allowedBlocksExtra: 
- 10.3.3.0/24 
- 10.30.0.0/16{code} 
And after helm deployment these new IP ranges are not updated anywhere in the pods 
{code:java} 
sh-4.2# cat allow.d-c8y-all.conf 
allow 10.3.2.0/24; 
allow 10.3.201.0/24; 
sh-4.2#{code} 
  

And based on the helm chart ( ..\helm_charts\nginx\allow.d-c8y-all.conf) its correct because this allowedBlocksExtra is not used: 

  
  
{code:java} 
{{- range .Values.allowedBlocks }} allow {{.}}; {{- end }}{code} 
  
So  either the helm chart should be updated to include the allowedBlocksExtra  or the generation of the cc_values.yml from chef should be fixed that it include the IP ranges in the allowedBlocks. .........",Incident
need user for apj.cumulocity.com,"Please create a admin user with name ""christian.herzog@softwareag.com"" on apj.cumulocity.com
and send me a password reset email.",Ticket
Provision new enterprise tenant on *.iot.hillrom.com,"Please provision a new enterprise tenant on *.iot.hillrom.com. 

  

Tenant Name:   *ihs981901-poc-master.iot.hillrom.com* 

Adminstrator:  *[steven_morrow@baxter.com|mailto:steven_morrow@baxter.com]* 

  

Unfortunately, I don't have permissions to create a new tenant on the environment. 

  

Please let me know if you have any questions or need more information. 

  

Thanks, 

Kent",Ticket
"issues with ""apama-ctrl-1c-4g"" on https://raimondi.ttcontrol.cloud","Apama works only for 50% of the cases fine. 
The production tenant: 
* url: [https://raimondi.ttcontrol.cloud|https://raimondi.ttcontrol.cloud/] 
* tenantId: t5243111 

Attached the log screenshot. 

Chris Reed and Korbinian Butz (Consulting) reported: 

Investigation with Korbinian showed evidence that some Measurements, Alarm updates were not being delivered to apama-ctrl - fairly random which were/ weren't. 

apama-ctrl's logging included ProxyStatus : 

192.168.7.0  - started 29 (relatively static - only changing by 1 a minute or less) 
192.168.5.0 - started 13213 (constantly receiving a trickle of new data) 

This suggests there are only two core nodes, and one is sending next to no updates to /service/cep/events .  This suggests there's a problem with one of the core nodes (and also, please confirm that there are only 2 core nodes; are there others that haven't sent anything to apama-ctrl?).",Incident
Install cloud-remote-access,"Please install cloud-remote-access application in Sony environments below: 

1)  [https://management.jp.ss.c8y.io/apps/administration/index.html#/applications|https://urldefense.com/v3/__https://eur04.safelinks.protection.outlook.com/?url=https*3A*2F*2Fmanagement.jp.ss.c8y.io*2Fapps*2Fadministration*2Findex.html*23*2Fapplications&data=04*7C01*7CAsit.Som*40softwareag.com*7Ca4a652342e0f498e5e1408da1ba58d55*7Cd9662eb9ad984e74a8a204ed5d544db6*7C1*7C0*7C637852695137310040*7CUnknown*7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0*3D*7C3000&sdata=YwTLOMWmWVWqtQrHTm1bA*2FhamqmYEjW19lf6iAJGkK8*3D&reserved=0__;JSUlJSUlJSUlJSUlJSUlJSUlJSUlJQ!!JmoZiZGBv3RvKRSx!qD9zEK8H7sZhnl7ueeYYZIfsijRqi5opjlHjt3Ehnk-b-hAWriU3-DB4PACSFkeRNxA$]  

2)  [https://management.na.ss.c8y.io/apps/administration/index.html#/applications|https://urldefense.com/v3/__https://eur04.safelinks.protection.outlook.com/?url=https*3A*2F*2Fmanagement.na.ss.c8y.io*2Fapps*2Fadministration*2Findex.html*23*2Fapplications&data=04*7C01*7CAsit.Som*40softwareag.com*7Ca4a652342e0f498e5e1408da1ba58d55*7Cd9662eb9ad984e74a8a204ed5d544db6*7C1*7C0*7C637852695137310040*7CUnknown*7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0*3D*7C3000&sdata=uR1czFL8Mtv1oeKTSTjm2cLfsfv4JreuxUyRy0P*2FOzI*3D&reserved=0__;JSUlJSUlJSUlJSUlJSUlJSUlJSUlJQ!!JmoZiZGBv3RvKRSx!qD9zEK8H7sZhnl7ueeYYZIfsijRqi5opjlHjt3Ehnk-b-hAWriU3-DB4PACSctAQnzM$] 

 ",Ticket
"CLONE - Reading Objects in C8Y is going to pending state when FW_Size_15MB Download fails with setting of ""lwm2mRequestTimeout=900000"" in C8Y",We need logs from ITRON August 21st to investigate the parent issue.,Incident
"""self"" fragment incorrectly reported as http (should be https) from inside the k8s cluster","While testing the C8y 1013 on [nordex.nifdev.nordex-online.com|http://nordex.nifdev.nordex-online.com/] platform we found odd behavior that is affecting our services. FYI: it works fine on 1009 and worked fine on nifdev 1009. 

Microservice running outside of the K8s is talking to inventory trying to get any managed object. It receives proper “self” fragment with https in it. 

The same microservice running inside the platform's k8s is doing the same request with the same credentials - the “self” field is provided with URL that contains only http (without s). 

Issue is critical for Nx as some microservices are extracting that self field and pass it to other microservices causing them to fail. 

In the attached image you have example prepared by Arkadiusz Bieniak while testing 1013 installed similar way as on nifdev and you can see the issue is there as well. 

This might be a planned change in the API but we need a confirmation as this is a breaking change for us and we need to modify our code for 1013 and/or start detecting revision of C8y on the MS level (as we share MSes between different revisions on C8y in IoT and Edge platforms).",Ticket
Plattform down - 502 Bad Gateway,"*Necessary iTrac information*  
*Affected system* 
  **   *(management.iot.a1.digital)* 

lease suspend tenant → t1573623 

Vienna (DR Frankfurt) 

*Affected tenant* 

Tenant: ___t1573623______________ OR System-wide issue. 
** 

*Description of the Problem:* 

Hi guys, 
due to many api requests our platform crashes (management.iot.a1.digital) 

Please suspend tenant → t1573623 

Boyan K. has prepared 2 additional cores which have to be activated. 

Please proceed with activation. 

Thx, 

Dejvid",Incident
[Hilti] Verify Kubernetes Cluster Health,"*Affected system""* 

Hilti Prod: https://management.dmp.hilti.com/ 

*Description of the Problem:* 

+This is a request from CSM '[~olm] for Hilti's purpose.+ 

FYI, I provide regular Gafana KPI figures of Hilti’s custom microservices to the customer. I have seen that there are not KPIs of all custom microservices before September 12th (2023) available anymore and I have received a confirmation from Hilti that majority of services were up and running before this date. Therefore we presume a restart of this K8S cluster that deleted all logs.. 

Could you please check K8S health for Hilti environment and update? 

The customer wanted to know the root cause this lack of log entries before September 12.{*}{*}{*}{*}",Incident
BSCI: Certificate Renewal Request,"From customer Boston Scientific.... 

  

""I have received our updated certificates for prod and non prod. I would like to schedule our non prod instance to have it’s certs renewed this Wednesday, 2/7/24 and our prod instance to be renewed on Thursday 2/8/24. This will give us a 24 hour testing window to ensure no issues happen. 

I have provided the certificates for both environments"" 

  

Can this be implemented for them at the requested dates?",Ticket
Solenis: Need SMS GW new version uploaded,"Can you please upload a new version of SMS Gateway to the Solenis dev tenant (https://dev.iot.solenis.com/) for testing purposes? 

They have asked for Twillio implementation and this has been now done for 10.17, but we agreed that Solenis gets a beta version as soon as it is available and through QA process. 

Because zip snapshot is 175MB, here is a sharepoint link to download: 

[https://sagportal-my.sharepoint.com/:f:/g/personal/myp_softwareag_com/EpEbmbWrl9hJp6taW2ooX88B9ca0LdoIXcNYt_6dwUcRuw?e=QVByvY] 

  

zip can also be downloaded from draccoon here:  [https://transfer.softwareag.com/node/277197] 

  

Not sure if this can just be loaded via Administration > Ecosystem > Microservices... 

  

Let me know if you have any questions. 

  

Thanks, 

Kent 

 ",Ticket
Delete picomagcloudtest.autosen.cloud on c8y production,"Please delete tenant ** picomagcloudtest.autosen.cloud on c8y production, id picomagcloudtest. 

It is no longer needed. 

id is picomagcloudtest. 

  

!image-2023-03-24-11-59-42-250.png!",Ticket
Tenancy DELETE,"Request from MIOT: 

Please delete the “celcom.iot.telstra.com” sub-tenant from https://miotprod.iot.telstra.com/ 

Please note this sub-tenant has already been suspended. 

",Ticket
Database backup,"Customer needs backup copy of database. 

  

Same request as [https://itrac.eur.ad.sag/browse/CSOIOT-3834]","- Row 1: Ticket
- Row 2: Ticket"
[Solenis] Upgrade the Dev Instance to 10.18,"*Affected system:* 

Solenis Dev Environment: https://management.iot-dev.solenis.com 
Current version: 10.17.441 

*Description of the Problem:* 

Customer from Solenis has requested an upgrade for their development instance to version 10.18. 
Currently, they are using version 10.17.441 

*.iot-dev.solenis.com",Ticket
Microservice issues: bad gateway,"Hi Ops! 

This morning Kemin noticed some strange behavior in their microservices. After monitoring some time, they decided to restart one of them. The result is even worse than before. Their Apama microservice (subscribed on two subtenants) only stared on one of the two subtenants. They are getting 502 Bad gateway errors when opening the status page of the microservice on the subtenant (see screenshot). 


On the other subtenant, they see in the logs a lot of GET errors. Probably also because of 502 Bad gateway issue (see attached logs). 

Also, since last week, they have a JAVA microservice (written by SAG) that does not show any logs (says it has no instance running), but there is data coming in from that microservice (see screenshot “Ewon”). 

Was there any changes over the last days on the [cumulocity.com|http://cumulocity.com/] environment? Are there currently any known issues? 

Customer considers this as a CRISIS!",Incident
Trying to offload inventory collection and getting error,"Customer is encountering a limit exceeded in Dremio on the Flexco staging instance. 

t86675 staging.flexcoelevatedashboard.com 

Error: 

Caused by: java.sql.SQLException: UNSUPPORTED_OPERATION ERROR: Field '{*}contents' exceeds the size limit of 32000 bytes.{*} 

  

Similar issues with other customers have been resolved in iTracs: 

[CSOIOT-4160|https://itrac.eur.ad.sag/browse/CSOIOT-4160] 

[CSOIOT-921|https://itrac.eur.ad.sag/browse/CSOIOT-921] 

  

--------------------------------------------------------- 
The workaround for this issue is the following: 

change that maximum value. 
- Log in to Dremio as admin. 
- go to the ?Admin? menu, then ?Support? 
- add the key ?limits.single_field_size_bytes"" and set it to 500000 
---------------------------------- 

  

 ",Incident
Connection Error on hosted Microservices,"On customers productive system they have a connection error on the hostet Microservices.
According to their logs, the outage has been since midnight.

This is very critical, but not yet CRISIS",Incident
Microservice not running anymore,"our microservice pending-assignment in the tenant dmgmoridevices.adamos.com is not running anymore since April 9th. We did not touch/change anything related to this microservice. 

Would you please check? 

{color:#1f497d}The cumulocity.json file defines a memory limit of 2G for this microservice. Therefore I doubt that we have a memory issue. The service itself also idles more or less most of the time.{color} 

{color:#1f497d}Is this maybe related tot he last platform updates? 

Comment support: 
I can confirm that the MS is shown as {color}Unhealthy 

{color:#1f497d} 
Tenant ID: dmgmoridevices[ 
|https://dmgmoridevices.adamos.com/apps/administration/index.html#/]Microservice Pending-assignment 
[https://dmgmoridevices.adamos.com/apps/administration/index.html#/applications/2023/status]  
shows: 

ALARMS 
*311* Back-off restarting failed container 
12 April 2021 09:51 
*565* Readiness probe failed: Get [http://10.244.24.138:80/health:|http://10.244.24.138/health:] dial tcp 10.244.24.138:80: connect: no route to host 
12 April 2021 09:46 

9 April 2021 09:46 Deployment was changed 
9 April 2021 09:47 Container image ""[kube-registry-persistent-secure.adamos-multinode-prod.svc.cluster.local:5000/dmgmoridevices/pending-assignment:0.2.0|http://kube-registry-persistent-secure.adamos-multinode-prod.svc.cluster.local:5000/dmgmoridevices/pending-assignment:0.2.0]"" already exists. 

Microservice log is attached. 
The error starts with: 
{color}2021-04-12 08:11:03.908 ERROR 12 --- [subscriptions-0] c.m.s.s.MicroserviceSubscriptionsService : Error while reacting on microservice subscription 
com.cumulocity.sdk.client.SDKException: Error invoking GET http://cumulocity:8111/application/currentApplication.... 

{color:#1f497d} 

{color}",Incident
"'system:SendEmail': Mail server connection failed; nested exception is javax.mail.MessagingException: Could not connect to SMTP host: localhost, port: 25;","Customer encountered a 'system error' when Cumulocity tries to send emails generated by smart rules ('mail server connection failed'). Please find attached a screenshot of the message.

Exception on tenant incubateur in statement 'system:SendEmail': Mail server connection failed; nested exception is javax.mail.MessagingException: Could not connect to SMTP host: localhost, port: 25; nested exception is: java.net.ConnectException: Connection refused (Connection refused). Failed messages: javax.mail.MessagingException: Could not connect to SMTP host: localhost, port: 25; nested exception is: java.net.ConnectException: Connection refused (Connection refused)
30 September 2019 03:19 CEP Engine incubateur

Type c8y_CepRuntimeException@system:SendEmail
Exception details { 'rootCauseMessage': 'ConnectException: Connection refused (Connection refused)', 'statementName': 'system:SendEmail', 'message': 'Mail server connection failed; nested exception is javax.mail.MessagingException: Could not connect to SMTP host: localhost, port: 25;\n nested exception is:\n\tjava.net.ConnectException: Connection refused (Connection refused). Failed messages: javax.mail.MessagingException: Could not connect to SMTP host: localhost, port: 25;\n nested exception is:\n\tjava.net.ConnectException: Connection refused (Connection refused)', 'tenant': 'incubateur' }

Can you take a look at this issue and let me know what needs to be done to resolve this?

Thanks,
Kent",Incident
Smartrules+datapoints+alarms do not work for non explicit thresholds - CEP upgrade required,"incubateur.connect.opteama.stelia.aero

Device td2 in group Logistique > Cong?lateurs > Cong?lateurs M?aulte -44C has an explicit rule to raise an alarm when the temperature > 70 . It also has a rule that is not explicit i.e. threshold from the datapoint, that was added from the Data Explorer tab.

These two rules work.

However, if I add a smart rule on the td2 device Info tab (not from Data Explorer) for 'Creates alarms when measurement reaches thresholds' it does not work, although it looks identical to the one added from the Data Explorer tab.

There is also a problem that a rule added to group 'Cong?lateurs M?aulte -44C' called 'CONG Group level temp alarm', and enabled for device td2 does not show in the Info tab of td2. Neither does it work.

Explicit rules work with no problem.","1. Incident  
2. Incident  
3. Incident  
4. Incident  
5. Ticket  
6. Incident  
7. Incident"
https://developer.cumulocity.com/ not secure,"* {*}Product Version:{*}10.16 
  

* {*}Severity:{*}Crisis 
  
* {*}Tenant Name:{*}t1684359976 

* *Tenant URL:* 
[https://dielectric.dacsystem-apollo.com/] 
  

we have trouble connecting to the platform from all our devices. 

We belive that the reason is because the certificate for [https://developer.cumulocity.com/] is self signed and not verifiable by our end. 

The change has happened on August 10. 

This is an very urgent matter, as none of our devices is able to send data to the platform. 

New certificate: 

!Invalid certificate.png|thumbnail! 

---------------------------- 

*According to the customer:* 

The error is thrown by the cumulocity sdk when it tries to access the platform (see attached). 

We haven't changed anything on the edge side. 

!Screenshot from 2023-08-21 20-53-00.png|thumbnail! 

I would like to reiterate that I think our certificate has nothing to do with the problem. 
We changed the certificate today (as we did 3 months ago) of our domain name but our customers, whom I contacted earlier, reported that they noticed the problem as early as last week. 

I could be wrong; I don't have a complete view of the problem, but can you check whether the previous certificate of your domain [developer.cumulocity.com|http://developer.cumulocity.com/] was also self-signed?",Incident
